audio_file|text|speaker_name
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0000.wav|The desert climbing is so much better for my air filter.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0001.wav|gotta stay sharp on this new driving course of Mater's.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0002.wav|Hey, I should invite some of the other piston cup racers to town.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0003.wav|I just prefer to do it in a plane rather than holding onto Mater's tow hook.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0004.wav|A lot of big name racers are talking about synthetic oils.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0005.wav|If I never hear the word bomb again, it'll be too soon.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0006.wav|I'm really looking forward to my date with Sally tonight.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0007.wav|We're just gonna go for a nice relaxing drive under the stars.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0008.wav|After this is over, it might be time to drop by Ramones.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0009.wav|When this is over I should probably take Sally off.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0010.wav|Oh, today's the day Lizzie gets new bumper stickers in at the Curio shop.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0011.wav|I think my oil pressure goes down 10 psi every time I come home.|mcqueen
C:\Users\user\Desktop\El projecto\Franky\backend\voice_dataset\finetune_dataset\wavs\mcqueen_0012.wav|It's too bad about Miles Axlerod, but I gotta say, that world gram pre-thing was a great idea.|mcqueen
