mcqueen_0000|The desert climbing is so much better for my air filter.|The desert climbing is so much better for my air filter.
mcqueen_0001|gotta stay sharp on this new driving course of Mater's.|gotta stay sharp on this new driving course of Mater's.
mcqueen_0002|Hey, I should invite some of the other piston cup racers to town.|Hey, I should invite some of the other piston cup racers to town.
mcqueen_0003|I just prefer to do it in a plane rather than holding onto Mater's tow hook.|I just prefer to do it in a plane rather than holding onto Mater's tow hook.
mcqueen_0004|A lot of big name racers are talking about synthetic oils.|A lot of big name racers are talking about synthetic oils.
mcqueen_0005|If I never hear the word bomb again, it'll be too soon.|If I never hear the word bomb again, it'll be too soon.
mcqueen_0006|I'm really looking forward to my date with Sally tonight.|I'm really looking forward to my date with Sally tonight.
mcqueen_0007|We're just gonna go for a nice relaxing drive under the stars.|We're just gonna go for a nice relaxing drive under the stars.
mcqueen_0008|After this is over, it might be time to drop by Ramones.|After this is over, it might be time to drop by Ramones.
mcqueen_0009|When this is over I should probably take Sally off.|When this is over I should probably take Sally off.
mcqueen_0010|Oh, today's the day Lizzie gets new bumper stickers in at the Curio shop.|Oh, today's the day Lizzie gets new bumper stickers in at the Curio shop.
mcqueen_0011|I think my oil pressure goes down 10 psi every time I come home.|I think my oil pressure goes down 10 psi every time I come home.
mcqueen_0012|It's too bad about Miles Axlerod, but I gotta say, that world gram pre-thing was a great idea.|It's too bad about Miles Axlerod, but I gotta say, that world gram pre-thing was a great idea.
mcqueen_0013|You know, I'm glad the radiator springs Grand Prix was such a big success.|You know, I'm glad the radiator springs Grand Prix was such a big success.
mcqueen_0014|but I'm still not sure I should have introduced Francesco to Sally.|but I'm still not sure I should have introduced Francesco to Sally.
